Intent,Question Pattern,Response
ATM_Transaction_OTP,Do ATMs require an OTP for withdrawals?,Some banks offer OTP-based cash withdrawals for added security.
ATM_Fraud_Insurance,Is there an insurance policy against ATM fraud?,Some banks offer fraud protection insurance. Check with your bank for details.
International_ATM_Use,Can I use my Indian ATM card abroad?,"Yes, if international transactions are enabled on your card. Check with your bank."
Bank_Customer_Care,How do I contact my bank�s customer care for ATM fraud?,Visit your bank�s official website or call the helpline number printed on your card.
RBI_Guidelines_ATM_Fraud,What are RBI guidelines on ATM fraud liability?,"If fraud is reported within 3 days, the bank must refund the amount without liability on the customer."
Bank_Fraud_Department,Does every bank have a fraud investigation department?,"Yes, all banks have a dedicated fraud investigation and dispute resolution team."
ATM_Withdrawal_Limit,What is the maximum amount I can withdraw from an ATM?,ATM withdrawal limits vary by bank and account type. Check with your bank for specifics.
ATM_Chip_Card_Safety,Are chip-based ATM cards safer than magnetic stripe cards?,"Yes, chip-based cards provide better encryption and security against fraud."
ATM_Transaction_SMS,Why should I enable SMS alerts for ATM transactions?,SMS alerts help you track unauthorized transactions instantly.
ATM_Receipt,Should I take my ATM receipt after every transaction?,"Yes, always take your receipt to prevent misuse of transaction details."
ATM_Fraud_Awareness,How can I educate others about ATM fraud prevention?,Share information on safe ATM usage and report fraud incidents to authorities.
Fake_ATM_Websites,How do fraudsters use fake websites to steal ATM details?,They create fake banking sites to collect card information. Always verify URLs before entering details.
ATM_Fraud_Cybercell,Where can I report ATM fraud apart from my bank?,You can report it to the Cyber Crime Cell or visit www.cybercrime.gov.in.
ATM_PIN_Hacking,Can hackers steal my ATM PIN remotely?,"Hackers use skimmers, keyloggers, and phishing scams. Avoid using ATMs with suspicious attachments."
ATM_Fraud_Bank_Compensation,Will my bank compensate me for ATM fraud?,Banks may compensate if the fraud is reported within the RBI-specified time frame.
ATM_Transaction_Reversal,How do I get a reversal for a failed ATM transaction?,Report to your bank. Reversals usually happen within 5-7 working days.
ATM_Fraudulent_Charges,What should I do if my bank account shows fraudulent ATM withdrawals?,Immediately report unauthorized withdrawals to your bank and freeze your card.
ATM_Card_Debit_Theft,Can someone misuse my lost ATM card?,"Yes, if they have access to your PIN. Block the card immediately."
ATM_Fraud_Customer_Rights,What are my rights if I�m a victim of ATM fraud?,"As per RBI guidelines, report fraud within 3 days to avoid liability."
ATM_Fraud_Social_Engineering,How do fraudsters use social engineering in ATM fraud?,They trick people into revealing PINs or OTPs. Never share such details.
ATM_Cash_Non_Dispense,What if the ATM doesn�t dispense cash but deducts money?,File a complaint with your bank. The amount is usually credited back in 5-7 days.
ATM_Suspicious_Activity,What should I do if I see someone acting suspiciously near an ATM?,Avoid using that ATM and inform the bank or police immediately.
ATM_Two_Factor_Authentication,Do ATMs use two-factor authentication?,Some banks have started implementing additional authentication like OTP for security.
ATM_Technical_Glitches,What should I do if an ATM is not working properly?,Report it to the bank and avoid using the machine.
ATM_Lockout,What happens if I enter the wrong PIN multiple times?,Your ATM card may be temporarily blocked for security reasons.
ATM_Police_Intervention,Can the police help in ATM fraud cases?,"Yes, you can file an FIR with the cyber police for ATM fraud incidents."
ATM_Bank_Notification,Why did my bank block my ATM card?,Banks block cards for security reasons due to suspicious activity. Contact customer service for details.
Hit_Run_Reporting,How can I report a hit-and-run accident?,You can report a hit-and-run case by calling the police helpline 112 or visiting the nearest police station.
Hit_Run_Laws,What is the legal punishment for a hit-and-run case in India?,"Under IPC Section 304A, hit-and-run cases can lead to up to 2 years imprisonment and a fine."
Hit_Run_Evidence,What evidence should I collect after a hit-and-run accident?,"Collect vehicle details, eyewitness statements, and CCTV footage to support your case."
Hit_Run_Victim_Help,What should I do if I witness a hit-and-run accident?,"Call emergency services (112 or 108), help the injured, and report the incident to the police."
Hit_Run_Insurance,Can I claim insurance for a hit-and-run case?,"Yes, victims can claim compensation under the Solatium Scheme for hit-and-run accidents."
Hit_Run_CCTV_Footage,Can police track the vehicle using CCTV footage?,"Yes, police can check CCTV footage from nearby cameras to identify the vehicle involved."
Hit_Run_Compensation,How much compensation can I get for a hit-and-run case?,"Under the Solatium Scheme, victims may get ?2 lakh for death and ?50,000 for serious injury."
Hit_Run_Witness,Can I be a witness in a hit-and-run case?,"Yes, eyewitnesses play a crucial role in identifying the vehicle and helping victims get justice."
Hit_Run_Drunk_Driving,What if the driver in a hit-and-run case was drunk?,Drunk driving and fleeing the scene can result in stricter penalties under IPC Section 185 of the MV Act.
Hit_Run_First_Aid,What first aid should be given to a hit-and-run victim?,"Call emergency services, stop bleeding, and keep the victim stable until medical help arrives."
Hit_Run_Police_FIR,How do I file an FIR for a hit-and-run accident?,"Visit the nearest police station, provide details of the incident, and register a complaint."
Hit_Run_Punishment,What happens if the hit-and-run driver is caught?,"They can face imprisonment, fines, and loss of driving privileges under the Motor Vehicles Act."
Hit_Run_Anonymous_Tip,Can I report a hit-and-run case anonymously?,"Yes, you can provide anonymous tips to the police via the helpline or online complaint portals."
Hit_Run_Motor_Vehicle_Act,Which section of the Motor Vehicles Act covers hit-and-run cases?,Hit-and-run cases are covered under Section 161 and 134 of the Motor Vehicles Act.
Hit_Run_Helpline,Which helpline should I call for a hit-and-run emergency?,Call 112 for police assistance or 108 for medical emergencies.
Hit_Run_License_Suspension,Can a hit-and-run driver lose their driving license?,"Yes, authorities can suspend or cancel the driving license of the offender under MV Act regulations."
Hit_Run_Victim_Rights,What are the legal rights of a hit-and-run victim?,"Victims have the right to claim compensation, demand a police investigation, and seek justice in court."
Hit_Run_Accident_Location,Should I move the victim from the accident site?,"Only if necessary for safety. Otherwise, wait for medical help to avoid further injuries."
Hit_Run_Vehicle_Details,What if I only saw part of the vehicle�s number plate?,"Provide any details you remember to the police, and they may track the vehicle using partial data."
Hit_Run_Death_Case,What happens in a hit-and-run case resulting in death?,"The driver can be charged under IPC Section 304, leading to imprisonment of up to 10 years."
Hit_Run_Bystander_Law,Am I legally required to help a hit-and-run victim?,India�s Good Samaritan Law protects those who help accident victims from legal complications.
Hit_Run_Civil_Case,Can I file a civil case against a hit-and-run driver?,"Yes, victims or their families can file a civil lawsuit seeking damages for injuries or loss of life."
Hit_Run_Hospital_Admission,Can hospitals refuse treatment to hit-and-run victims?,"No, hospitals must provide emergency care to victims under the Supreme Court�s guidelines."
Hit_Run_Road_Safety,How can we prevent hit-and-run accidents?,"Follow traffic rules, report reckless drivers, and promote road safety awareness."
Hit_Run_Witness_Protection,Will I be protected if I testify as a witness?,"Yes, witness protection laws ensure safety and anonymity for those testifying in serious cases."
Hit_Run_Accident_Penalty,What is the minimum penalty for a hit-and-run offense?,"A fine of ?5,000 and up to 6 months imprisonment under the Motor Vehicles Act."
Hit_Run_Self_Defense,What if I flee the scene out of fear after an accident?,It�s best to report the accident immediately. Fleeing can lead to harsher legal consequences.
Hit_Run_RBI_Compensation,Does the government provide compensation for hit-and-run victims?,"Yes, the Ministry of Road Transport provides compensation under the Solatium Scheme."
Hit_Run_Social_Responsibility,Why is reporting a hit-and-run accident important?,It helps ensure justice for the victim and prevents reckless driving from going unpunished.
Hit_Run_Minor_Driver,What happens if a minor is involved in a hit-and-run case?,"The minor�s parents may be held accountable, and the minor can face legal action as per juvenile laws."
Hit_Run_Highway_Accidents,Who handles hit-and-run cases on highways?,The Highway Patrol or State Police investigate and handle such incidents.
Hit_Run_Car_Insurance,Can my insurance cover damage caused by a hit-and-run driver?,Check with your insurance provider. Some policies cover hit-and-run damages under third-party insurance.
Hit_Run_Rewards_For_Info,Do police offer rewards for hit-and-run case information?,"In some cases, police may offer rewards for crucial information leading to the arrest of the offender."
Hit_Run_Accident_Claim_Process,How do I apply for hit-and-run compensation?,Submit a claim at the District Claims Tribunal along with necessary evidence.
Hit_Run_Speeding,Does speeding contribute to hit-and-run accidents?,"Yes, high speed increases the risk of accidents and makes drivers less likely to stop."
Hit_Run_Bike_Accident,Is a hit-and-run involving a bike treated differently?,"No, all hit-and-run cases are treated seriously regardless of the vehicle type."
Hit_Run_Fake_Accident_Claims,What if someone falsely accuses me of a hit-and-run?,Gather evidence like dashcam footage and eyewitnesses to prove your innocence.
Hit_Run_Public_Responsibility,What can the public do to reduce hit-and-run incidents?,"Report reckless drivers, follow traffic rules, and support road safety initiatives."
Hit_Run_Online_FIR,Can I file a hit-and-run FIR online?,"Yes, many states allow online FIR registration through their police websites."
Hit_Run_Traffic_Cameras,Can traffic cameras help solve hit-and-run cases?,"Yes, traffic cameras can capture vehicle details and help police identify offenders."
Hit_Run_Repeat_Offenders,What happens if someone is caught for multiple hit-and-run offenses?,"They may face higher penalties, extended imprisonment, and permanent license revocation."
Hit_Run_Suspicious_Driver,What should I do if I see a suspicious driver fleeing an accident?,Note their vehicle details and report to the police immediately.
Hit_Run_Accident_Helpline,Is there a national helpline for road accidents?,"Yes, you can call 112 for police assistance or 108 for medical emergencies."
Hit_Run_Passenger_Liability,Are passengers liable in a hit-and-run case?,Passengers are not usually liable unless they were involved in encouraging or assisting the driver.
Drunk_Driving_Laws,What is the legal limit for alcohol while driving?,"In India, the legal limit is 30mg of alcohol per 100ml of blood, as per the Motor Vehicles Act."
Drunk_Driving_Punishment,What is the punishment for drunk driving?,"Drunk driving can lead to fines up to ?10,000 and imprisonment of up to 6 months for the first offense."
Drunk_Driving_Repeat_Offense,What happens if I am caught drunk driving again?,"Repeat offenses may result in a ?15,000 fine, up to 2 years imprisonment, and license suspension."
Drunk_Driving_Breathalyzer_Test,Can police force me to take a breathalyzer test?,"Yes, police have the authority to conduct breathalyzer tests under the Motor Vehicles Act."
Drunk_Driving_License_Suspension,Can my license be suspended for drunk driving?,"Yes, your license can be suspended for up to 3 months for the first offense."
Drunk_Driving_Car_Seizure,Can police seize my car if I am caught drunk driving?,"Yes, police may impound your vehicle if found driving under the influence of alcohol."
Drunk_Driving_Bail,Can I get bail if caught drunk driving?,"Bail may be granted for first-time offenders, but repeat offenses may lead to stricter consequences."
Drunk_Driving_Accident,What if I cause an accident while drunk driving?,"You may face charges under IPC Section 304A, leading to imprisonment and a heavy fine."
Drunk_Driving_Insurance_Claim,Can I claim insurance if I was drunk during an accident?,"No, insurance claims are usually rejected if the driver was under the influence of alcohol."
Drunk_Driving_Police_Checkpoints,Can police set up checkpoints for drunk driving?,"Yes, police conduct regular DUI checkpoints to catch drunk drivers and prevent accidents."
Drunk_Driving_Hit_and_Run,What if I flee after causing an accident while drunk?,"Fleeing after a drunk driving accident can lead to severe penalties, including jail time under IPC 304."
Drunk_Driving_First_Offense,What happens if I am caught drunk driving for the first time?,"You may face a ?10,000 fine or imprisonment up to 6 months, depending on the severity."
Drunk_Driving_Test_Refusal,What if I refuse to take a breathalyzer test?,Refusing a breathalyzer test can lead to penalties similar to drunk driving charges.
Drunk_Driving_Alcohol_Level_Test,How do police measure alcohol levels in drivers?,Police use breathalyzers or blood tests to determine alcohol concentration in a driver's blood.
Drunk_Driving_Public_Transport,Can I be charged for being drunk on public transport?,"No, unless you are causing public disturbance or behaving in a disorderly manner."
Drunk_Driving_Compounding_Fee,Can I pay a fine and avoid court proceedings?,"For minor offenses, fines can be paid at the spot, but serious cases may require court trials."
Drunk_Driving_Mobile_Court,Can I be prosecuted on the spot for drunk driving?,"Yes, mobile courts are set up in some cities to conduct immediate trials for traffic violations."
Drunk_Driving_Youth_Offenders,What if a minor is caught drunk driving?,"The parents or vehicle owner can be held responsible, and the minor may face legal action."
Drunk_Driving_CCTV_Evidence,Can CCTV footage be used as evidence in drunk driving cases?,"Yes, CCTV footage can be used in court to prove reckless or drunk driving behavior."
Drunk_Driving_Awareness_Programs,Are there awareness programs for preventing drunk driving?,"Yes, traffic police and NGOs conduct awareness drives to educate people about the dangers of drunk driving."
Drunk_Driving_Death_Penalty,What happens if someone dies due to drunk driving?,"The driver can be charged under IPC 304, leading to up to 10 years of imprisonment."
Drunk_Driving_Community_Service,Can I be sentenced to community service for drunk driving?,"Yes, some courts may order community service along with fines and license suspension."
Drunk_Driving_Car_Tracking,Can police track my car if I flee from a DUI checkpoint?,"Yes, police can use CCTV footage, vehicle registration details, and GPS tracking to locate your vehicle."
Drunk_Driving_Traffic_Laws,Under which law is drunk driving punished?,"Drunk driving is punishable under Section 185 of the Motor Vehicles Act, 1988."
Drunk_Driving_Social_Impact,How does drunk driving affect society?,"Drunk driving increases road accidents, endangers lives, and puts unnecessary strain on emergency services."
Drunk_Driving_Peer_Pressure,How can I refuse to drink when pressured by friends?,"Practice saying no firmly, offer an alternative activity, or take a designated driver role."
Drunk_Driving_Parental_Responsibility,Are parents responsible if their child is caught drunk driving?,"Yes, parents may face legal consequences if they allowed an underage person to drive under the influence."
Drunk_Driving_Road_Safety_Campaigns,What are some road safety campaigns against drunk driving?,Initiatives like �Don't Drink and Drive� and �Safe Roads India� promote awareness against DUI incidents.
Drunk_Driving_Preventive_Measures,How can I prevent myself from driving under influence?,"Arrange a designated driver, use public transport, or call a cab if you've been drinking."
Drunk_Driving_Online_FIR,Can I file an online complaint against a drunk driver?,"Yes, most state police websites have an option to report traffic violations online."
Drunk_Driving_Teenage_Accidents,Are teenage drivers more prone to drunk driving accidents?,"Yes, statistics show that inexperienced drivers are at a higher risk of DUI-related accidents."
Drunk_Driving_Workplace_Consequences,Can I lose my job if caught drunk driving?,"Some employers have strict policies against DUI offenses, leading to disciplinary action or termination."
Drunk_Driving_Good_Samaritan_Law,Can I help a drunk driving victim without legal trouble?,"Yes, India's Good Samaritan Law protects people who assist accident victims from legal issues."
Drunk_Driving_Rehabilitation_Programs,Are there rehabilitation programs for repeat DUI offenders?,"Yes, courts may mandate rehabilitation programs for individuals with multiple DUI offenses."
Drunk_Driving_Blood_Test,Can police take a blood test instead of a breathalyzer?,"Yes, if a breathalyzer is inconclusive, a blood test can be conducted at a hospital."
Drunk_Driving_Insurance_Premium,Does a DUI offense affect my insurance premium?,"Yes, a DUI conviction can lead to higher insurance premiums or even policy cancellation."
Drunk_Driving_Fake_Accusation,What if I am falsely accused of drunk driving?,You can challenge the accusation in court with medical reports or dashcam footage as evidence.
Drunk_Driving_Night_Checks,Why are police checks more frequent at night?,"Most DUI incidents happen at night, so police conduct frequent checks to prevent accidents."
Drunk_Driving_Lock_Device,Can I install a breathalyzer lock in my car?,"Yes, alcohol ignition interlocks prevent a car from starting if alcohol is detected in the driver�s breath."
Drunk_Driving_Mobile_Apps,Are there mobile apps to detect alcohol levels?,"Yes, some apps estimate blood alcohol levels and help people make informed decisions."
Drunk_Driving_Ride_Sharing,Is ride-sharing a good alternative to drunk driving?,"Yes, using Uber, Ola, or a taxi service can help avoid DUI incidents and ensure safe travel."
Drunk_Driving_Refusal_To_Hand_Over_Keys,Can my friends stop me from driving drunk?,"Yes, friends and family can take preventive action to avoid potential accidents and legal trouble."
